imdbId,tmdbId,title,originalTitle,releaseDate,runtime,genres,productionCountries,originalLanguage,spokenLanguages,budget,revenue,imdbRating,imdbVotes,tmdbRating,tmdbVotes,tmdbPopularity,collection,overview,tagline,cluster_no,embedding_x,embedding_y
tt0076759,11,Star Wars,Star Wars,1977-05-25,121,"Adventure,Action,Science Fiction",US,en,en,11000000,775398007,8.6,1237313,8.2,15473,85.005,Star Wars Collection,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"A long time ago in a galaxy far, far away...",0,10.656214984849976,-11.415852119340947
tt0119116,18,The Fifth Element,The Fifth Element,1997-05-02,126,"Adventure,Fantasy,Action,Thriller,Science Fiction",FR,en,"en,sv,de",90000000,263920180,7.7,435875,7.5,8179,25.123,,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",There is no future without it.,3,1.6994614720032728,-10.835111545420421
tt0325980,22,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,143,"Adventure,Fantasy,Action",US,en,en,140000000,655011224,8.0,1018355,7.7,15917,64.161,Pirates of the Caribbean Collection,"Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.",Prepare to be blown out of the water.,0,-5.578138918218072,-15.186706029531821
tt0266697,24,Kill Bill: Vol. 1,Kill Bill: Vol. 1,2003-10-10,111,"Action,Crime",US,en,"en,ja,fr",30000000,180899265,8.1,1005892,8.0,13180,32.982,Kill Bill Collection,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",A roaring rampage of revenge.,5,-1.3089282153706323,5.651901997821614
tt0383574,58,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,151,"Adventure,Fantasy,Action",US,en,"en,tr,el,zh",200000000,1065659812,7.3,657745,7.3,12163,62.119,Pirates of the Caribbean Collection,Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation.,Captain Jack is back!,0,-5.575602412937626,-15.554994659943457
tt0118548,66,Absolute Power,Absolute Power,1997-02-14,121,"Crime,Drama,Action",US,en,"en,es",50000000,50068310,6.7,50829,6.6,681,12.914,,"A master thief coincidentally is robbing a house where a murder—in which the President of The United States is involved—occurs in front of his eyes. He is forced to run, while holding evidence that could convict the President.",Corrupts Absolutely.,1,-4.259180064374836,4.363105849107955
tt0299977,79,Hero,英雄,2002-07-22,99,"Drama,Adventure,Action,History",CN,zh,zh,31000000,177394432,7.9,174362,7.5,1555,14.163,,One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China.,One man's strength will unite an empire.,9,14.467988949892213,3.9309829102188143
tt0430357,82,Miami Vice,Miami Vice,2006-07-27,132,"Action,Crime,Thriller","UY,US,DE,PY",en,"en,es",135000000,163794509,6.0,110575,5.9,1209,15.795,,"A case involving drug lords and murder in South Florida takes a personal turn for undercover detectives Sonny Crockett and Ricardo Tubbs. Unorthodox Crockett gets involved romantically with the Chinese-Cuban wife of a trafficker of arms and drugs, while Tubbs deals with an assault on those he loves.",No Law. No Rules. No Order.,8,-6.610240815189277,13.813158538822137
tt0082971,85,Raiders of the Lost Ark,Raiders of the Lost Ark,1981-06-12,115,"Adventure,Action",US,en,"en,es,de,he,ar,ne",18000000,389925971,8.4,887873,7.9,9061,28.536,Indiana Jones Collection,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,1,-2.907236469516912,-5.68803698540341
tt0087469,87,Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,1984-05-23,118,"Adventure,Action",US,en,"en,si",28000000,333000000,7.6,451245,7.3,6637,27.727,Indiana Jones Collection,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",If adventure has a name... it must be Indiana Jones.,1,-2.6399436354666252,-5.7374756072253605
tt0097576,89,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,1989-05-24,127,"Adventure,Action",US,en,"de,el,en",48000000,474171806,8.2,695144,7.8,7284,30.363,Indiana Jones Collection,"When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.","The man with the hat is back. And this time, he's bringing his Dad.",1,-2.852094575277509,-5.716082954639754
tt0086960,90,Beverly Hills Cop,Beverly Hills Cop,1984-11-30,105,"Action,Comedy,Crime",US,en,en,14000000,316360478,7.3,164799,7.2,2789,15.995,Beverly Hills Cop Collection,"The heat is on in this fast paced action-comedy starring Eddie Murphy as Axel Foley, a street smart Detroit cop tracking down his best friend's killer in Beverly Hills. Axel quickly learns that his wild style doesn't fit in with the Beverly Hills Police Department, which assigns two officers (Judge Reinhold & John Ashton) to make sure things don't get out of hand. Dragging the stuffy detectives along for the ride, Axel smashes through a huge culture clash in his hilarious, high-speed pursuit of justice. Featuring cameos by Paul Reiser, Bronson Pinchot and Damon Wayans, Beverly Hills Cop is an exhilarating, sidesplitting adventure.",The Heat Is On!,8,-4.855365547750521,12.030256591438626
tt0120591,95,Armageddon,Armageddon,1998-07-01,151,"Action,Thriller,Science Fiction,Adventure",US,en,"en,ru",140000000,553799566,6.7,397047,6.8,5880,28.143,,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",The Earth's Darkest Day Will Be Man's Finest Hour,0,3.240870729261871,-12.354873884442338
tt0092644,96,Beverly Hills Cop II,Beverly Hills Cop II,1987-05-18,103,"Action,Comedy,Crime",US,en,en,28000000,299965036,6.5,108112,6.4,1635,14.627,Beverly Hills Cop Collection,"Axel heads for the land of sunshine and palm trees to find out who shot police Captain Andrew Bogomil. Thanks to a couple of old friends, Axel's investigation uncovers a series of robberies masterminded by a heartless weapons kingpin—and the chase is on.",The Heat's Back On!,8,-5.0453159621234445,12.037347532382407
tt0084827,97,Tron,Tron,1982-07-09,96,"Science Fiction,Action,Adventure",US,en,en,17000000,33000000,6.8,113715,6.7,1527,14.065,TRON Collection,"As Kevin Flynn searches for proof that he invented a hit video game, he is 'digitalized' by a laser and finds himself inside 'The Grid', where programs suffer under the tyrannical rule of the Master Control Program (MCP). With the help of a security program called 'TRON', Flynn seeks to free The Grid from the MCP.",A world inside the computer where man has never been.  Until now.,2,0.0548450819840998,-3.469658549453684
tt0172495,98,Gladiator,Gladiator,2000-05-01,155,"Action,Drama,Adventure","GB,US",en,en,103000000,465361176,8.5,1348711,8.2,13553,34.636,,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",A Hero Will Rise.,6,18.401905110259047,-0.42642739754487874
tt0110413,101,Léon: The Professional,Léon: The Professional,1994-09-14,111,"Crime,Drama,Action","FR,US",en,"en,fr,it",16000000,45284974,8.5,1041652,8.3,10827,35.789,,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.","If you want a job done well, hire a professional.",8,-5.796264185640721,11.165209788112728
tt0130827,104,Run Lola Run,Lola rennt,1998-03-03,81,"Action,Drama,Thriller",DE,de,"de,en,ja",1530000,7267585,7.6,188857,7.3,1504,12.465,,"Lola receives a phone call from her boyfriend Manni. He lost 100,000 DM in a subway train that belongs to a very bad guy. She has 20 minutes to raise this amount and meet Manni. Otherwise, he will rob a store to get the money. Three different alternatives may happen depending on some minor event along Lola's run.",Every second of every day you're faced with a decision that can change your life.,5,-9.691074232402489,6.657224292842244
tt0093773,106,Predator,Predator,1987-06-12,107,"Science Fiction,Action,Adventure,Thriller",US,en,"en,es",15000000,98267558,7.8,373039,7.5,5407,36.694,Predator Collection,"Dutch and his group of commandos are hired by the CIA to rescue downed airmen from guerillas in a Central American jungle. The mission goes well but as they return they find that something is hunting them. Nearly invisible, it blends in with the forest, taking trophies from the bodies of its victims as it goes along. Occasionally seeing through its eyes, the audience sees it is an intelligent alien hunter, hunting them for sport, killing them off one at a time.",Soon the hunt will begin.,0,-2.7915059594790614,-4.571787252287516
